CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados
'1644548',VC-A PARNAIBA PIAUI','18035092000100',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1638719',VC-ADAMANTINA','43454978000136',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552"
'1364275',VC-AFONSO CLAUDIO','14209372000137',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599"
'1647091',VC-AGLOM URB S LUIS','26917795000190',1,1,0,0,"CÓDIGO: 6187345, CÓDIGO: 6111677"
'1486227',VC-AGRESTE ITABAIAN','16698944000114',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1637190',VC-AGRESTE LAGARTO','34375501000174',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1451621',VC-AL MEARIM GRAJAU','28028044000149',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178"
'1630170',VC-ALAGOA S S FRANC','03611536000131',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1646071',VC-ALAGOINHAS','42324800000108',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1613263',VC-ALEGRE','41807285000154',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599"
'1559368',VC-ALFENAS','11739079000193',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1617866',VC-ALTA FLORESTA','75911438001798',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1642137',VC-ALTAMIRA','29669089000165',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1227632',VC-ALTO ARAGUAIA','11471607000176',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1635768',VC-ALTO CAPIBARIBE','31343975000146',1,3,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1629206',VC-ALTO GUAPORE','24690555000170',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1068563',VC-ALTO M GURGUEIA','23646870000219',2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1636636',VC-ALTO ME CANINDE','43956043000158',2,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1537738',VC-ALTO PANTANAL','07192090000109',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1062344',VC-ALTO PARAGUAI','07398863000108',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1624652',VC-ALTO SOLIMOES','43170152000145',0,4,0,1,"CÓDIGO: 6180473, CÓDIGO: 8020791, CÓDIGO: 6111677, CÓDIGO: 6187022, CÓDIGO: 8018790"
'1553110',VC-ALTO TAQUARI','28787311000161',1,4,0,0,"CÓDIGO: 6054184, CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1650466',VC-ALTO TELES PIRES','22782709000129',1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1647595',VC-ALVORADA DOESTE','44510313000165',1,2,0,0,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1631861',VC-AMPARO','31388164000161',1,3,0,1,"CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552"
'1484877',VC-ANAPOLIS','10816406000109',1,2,0,0,"CÓDIGO: 6172311, CÓDIGO: 6135560, CÓDIGO: 6111677"
'1638616',VC-ANDRADINA','41777553000213',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1604406',VC-ANDRELANDIA','17851981000930',0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6111677"
'1629762',VC-ANICUNS','26682610000106',0,2,0,1,"CÓDIGO: 6135560, CÓDIGO: 6111677, CÓDIGO: 6135561"
'1632515',VC-APUCARANA','81689416000160',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190"
'1539580',VC-AQUIDAUANA','20147696000190',0,3,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6111677"
'1644122',VC-ARACAJU','30312192000132',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1608380',VC-ARACATUBA','15913547000155',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1525355',VC-ARAGARCAS','30829079000129',0,2,0,0,"CÓDIGO: 6135560, CÓDIGO: 6111677"
'1145399',VC-ARAPIRACA','01554921000169',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1637316',VC-ARARANGUA','42237414000189',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054205"
'1644927',VC-ARARAQUARA','11221006000105',1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6111677"
'1640197',VC-ARARI','40827146000120',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178"
'1643905',VC-ARARIPINA','40729885000189',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178"
'1616814',VC-ARAXA','41197926000104',0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6111677"
'1624162',VC-ARINOS','13858125000107',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1635917',VC-ARIPUANA','42973946000184',1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
'1620843',VC-ARIQUEMES','35421080000133',1,3,0,1,"CÓDIGO: 6054184, CÓDIGO: 6120895, CÓDIGO: 6165750, CÓDIGO: 6111677, CÓDIGO: 6132938"
